"Guid","AccountId","Application__c","Case_Checkbox__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
002d616e-64d7-4fbd-9496-57de8aa3a500,ca529e4e-a4f5-4433-a075-f994501e4b7a,"#N/A",false,"#N/A",0f2c0674-dbb1-4d50-b272-5441cec871a2,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
002d9806-1181-4f10-963e-9128a317b400,9bcb24e8-8d86-49bf-8957-8450c6a8de5d,"#N/A",false,"#N/A",c3c48c4b-5da8-4545-b2bf-5a343b183831,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Closed,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
004dd3fc-c8f4-4136-b883-fa7de4cfccbd,71e4cbe7-b6af-4dd1-9dc7-eef3204a0846,"#N/A",false,"#N/A",10e5cfb4-e865-4f9c-8489-52864054493d,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Pending Approval,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00609453-2491-4315-ab73-06b46501bfb4,a2cb4290-de9b-4996-b4cb-3cd238dc2427,"#N/A",false,"#N/A",d69d1942-eeea-42c5-990f-aaa0a8621b47,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Escalated,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0071e7c2-e927-4d2d-a77b-e67afaafe178,b2176b9e-ff4e-4ea9-8458-01817a3296f9,"#N/A",false,"#N/A",64ac14bb-e324-4add-838a-aff70fd8d53e,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Pending Approval,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0084b503-3a06-4ba1-9f00-af773685fa6c,a5f7a621-6025-4a71-99cf-2fe1f1f1e47a,"#N/A",false,"#N/A",e1903b7a-2665-44d1-9085-35b93a4be648,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Approved,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00b9a1ae-6d94-40af-b448-5e37856e8d26,3a5847f0-3637-43eb-b693-4e1850601378,"#N/A",false,"#N/A",26383bce-f4dc-4f13-9051-e6f214a4a957,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
00d845b1-54a2-4ecd-a38e-eea600865919,65b06c3b-022a-453c-98da-c989971b4ebf,"#N/A",false,"#N/A",ecbe1e88-4bb8-422b-b0c6-6a3bdd3dffbb,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,On Hold,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00ffa7d9-f9f8-4828-a3e1-b8ad4ce9809e,65b06c3b-022a-453c-98da-c989971b4ebf,"#N/A",false,"#N/A",59f84743-5a5a-46b9-bb59-a69a881bbe13,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Escalated,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01161e98-adf4-4e0a-bd53-4fb5a19d7b2f,5d950c48-efeb-4038-81da-e6a20e591907,"#N/A",false,"#N/A",9f4445e1-dba5-4dc8-9d30-9ff8be6d888a,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0130e65b-92d6-4528-9784-6b655455eb7a,ca529e4e-a4f5-4433-a075-f994501e4b7a,"#N/A",false,"#N/A",fb69850a-546b-42c5-bdfb-f7f77f9521ae,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Closed,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01d3a7bb-906a-438e-be9a-45b86ac285f2,93cf2b14-0f38-4b2d-8797-7dd6b2cf4459,"#N/A",false,"#N/A",628e2c6b-9799-40d4-ba29-53969e69e0e6,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01f371e8-0b61-4369-8114-f89225f110ac,a6cd4c93-1ecd-42b8-9e58-c0e36c33c120,"#N/A",false,"#N/A",1cce61e9-ff69-44dd-b5d8-98856df96fcc,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,New,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0202d47c-1b13-4825-b9a4-38c8d5e197b0,a81e9197-f0f4-4ed5-90bf-11a2b5cfad59,"#N/A",false,"#N/A",c8eecd65-545b-4686-80a1-c89c5a311111,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Closed,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
020daf79-0a59-431f-83b0-851757116c21,f394c477-1fc8-4042-a019-34fc2ecf2cea,"#N/A",false,"#N/A",e0cc8f14-3deb-4ed3-8a7f-411320e5b1f7,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Escalated,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0255d563-ea5a-44c6-b1dc-c2dcaac48d98,81e4055e-519e-4147-a226-564efccfe2de,"#N/A",false,"#N/A",f1fe8e0b-38de-4d57-b287-2a063c9a5f73,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
026f417a-7a34-4510-bf6b-4c5743afd172,81e4055e-519e-4147-a226-564efccfe2de,"#N/A",false,"#N/A",78ac0f72-8e9b-4eab-a69c-e861c298768d,User Needs Help,false,"#N/A",Medium,Existing problem,On Hold,Additional 5 licenses,"#N/A","#N/A","#N/A",Problem,"#N/A"
02761d9c-b274-4cd3-8845-22e13656957f,f068abdc-fe45-4877-a6de-1339dbf4968e,"#N/A",false,"#N/A",21d28a3b-0984-45e7-84a5-544a06748194,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Rejected,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
02bc415b-3f5b-4522-af2d-9cec08f01683,f006c775-6747-440a-bd6c-8363eb6ebcc4,"#N/A",false,"#N/A",47469f41-c862-46c1-a4f5-903e96651800,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Pending Approval,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02d0188d-2c0d-4304-85bd-44f7e072aa6e,5f173d3f-a282-4402-8e37-306577c2418f,"#N/A",false,"#N/A",5b7872e5-9406-4722-84b1-384539a2d07d,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02d93514-8e71-4269-befc-55cc89bc6b70,693c3e37-5bc6-44c4-a96e-afc43266fbca,"#N/A",false,"#N/A",42a0f35b-2be0-4b1e-ad99-6d113efdd063,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Escalated,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
03113d63-8353-4d63-9c09-d4a76963ce80,26214f44-f0ee-419d-8b57-072b0bef6dd7,"#N/A",false,"#N/A",a4dbc176-9f36-4c95-9c78-e9ca6b7d19c5,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0315cbaf-8ded-4420-95e3-17dffc3025a8,00f5a40b-5b83-434b-b39e-2a8a5b0e38c7,"#N/A",false,"#N/A",0a4cc785-3446-4770-813a-51b9bae9aca8,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Closed,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
037a56a3-8692-4ba1-b8c1-590febbb9433,75223672-eca6-4901-affb-b9e0802b8b02,"#N/A",false,"#N/A",60d4a4da-6f4d-44f8-9b7d-2988b00bbcdc,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Closed,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
037f8bbe-d24b-4a13-8177-c9adeb4443d4,9a3fd42c-49f5-4db4-948f-5048657614c0,"#N/A",false,"#N/A",da6642ad-887a-466e-ba9b-b8d101780dab,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Pending Approval,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
039350e0-f7f5-45d6-b5d5-a1c491e38682,61d91b5b-68cc-4a16-9d73-6036cb467cfe,"#N/A",false,"#N/A",f9f49e81-f158-480a-9620-5e4257ce58a7,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0398a62f-b4ea-46c7-87e3-f3b2267667fe,56acb614-01d1-4cb2-8997-b969585be12a,"#N/A",false,"#N/A",0103bbb5-893b-4139-98c9-0bfaa01386b0,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Closed,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03aa4e3a-8eaf-42bd-9f15-8f1c9b3c5349,34cb81f2-7c97-4807-94f2-add143d2ec0b,"#N/A",false,"#N/A",509c22a0-8b98-4e71-a395-433083659863,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Approved,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
03d20ad3-b848-423c-993f-187f22425c5c,5f173d3f-a282-4402-8e37-306577c2418f,"#N/A",false,"#N/A",9f4445e1-dba5-4dc8-9d30-9ff8be6d888a,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,On Hold,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
043c65d9-b26c-458f-a946-ee56b4b7c3a7,6a4c9979-cc4a-4053-ab81-c6bc82e793ad,"#N/A",false,"#N/A",b675f203-33d5-4c52-8603-3aa9eb08b7b2,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Rejected,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
047656ae-cabb-4a71-ad75-adf6dfbe72ed,d353a752-1c12-445e-badc-27f812df4b2c,"#N/A",false,"#N/A",f1aaa829-f019-4efb-b0d7-19c20242c8e2,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
047efb82-4276-4e4d-a2ed-98067bc2b9aa,56acb614-01d1-4cb2-8997-b969585be12a,"#N/A",false,"#N/A",ea4f6190-eca8-4a17-9749-d3c74af1211b,Prefers Direct Phone Outreach,false,"#N/A",Medium,Existing problem,Pending Approval,Issue with picklists and checkboxes going away,"#N/A","#N/A","#N/A",Problem,"#N/A"
04ac5a0f-4d59-4b2f-9604-5747dc16ead5,caa1f3fd-7988-477c-bb02-6d2685408a42,"#N/A",false,"#N/A",8aea0cf0-28f5-4615-abb6-6e5a97d382ca,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Pending Approval,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0500aa27-35f7-4b60-84cd-8508541f37d4,8d1172e9-b8b2-4679-a860-0da05e61c289,"#N/A",false,"#N/A",8a01f4f7-bcb6-46c8-8c4e-1dfc3c9bfd4e,My screen freezes whenever I try to upgrade. What do you recommend?,false,"#N/A",Medium,Complex functionality,New,Having trouble upgrading to the latest version,"#N/A","#N/A","#N/A",Problem,"#N/A"
051ac123-46d6-49c8-83bd-b883562bd06b,960ebb34-1da2-4126-a030-0c1ebff7384b,"#N/A",false,"#N/A",754cefd9-9626-4222-ad5e-97857b290209,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Rejected,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0567c66a-b3e0-4f54-bad3-e4492e117c03,6c40eb60-e11d-4540-98e6-11f5230fcf0a,"#N/A",false,"#N/A",a2984e1b-ea0c-4833-b8dd-1c86fd19fc8c,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Pending Approval,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
056b73b7-1ba2-4973-a8ab-8ff528f4e3fe,7544474c-afe4-43af-a756-bdc7180137c1,"#N/A",false,"#N/A",907338a0-8036-43d6-9e81-8fffc17466f2,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Rejected,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
056d002d-c0e5-4ad6-b4a3-8e189d18d3bc,693c3e37-5bc6-44c4-a96e-afc43266fbca,"#N/A",false,"#N/A",19e69b77-6729-4b9c-a10f-daa3a19d1749,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Pending Approval,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0594b3ee-f011-4877-93b3-00be51d36ddb,56acb614-01d1-4cb2-8997-b969585be12a,"#N/A",false,"#N/A",445d0dc5-5400-44c8-ada5-8ab7623d6c7a,"#N/A",false,"#N/A",Medium,Instructions not clear,Escalated,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
05c960c3-8128-464c-94e7-7b8769919e20,d00f2b29-8713-4062-8a8f-127f4b18c440,"#N/A",false,"#N/A",e3421501-9aa3-460c-a1ed-b6df3b1deb7e,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,On Hold,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
05d097c8-5500-48e5-8b8f-740bf4ffe7c4,7eec69d5-c57b-41a2-888b-9d1a16aebb06,"#N/A",false,"#N/A",ef98240d-e1d8-4f25-b7fb-08c735887cd9,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
05fb79fa-ea9b-465d-876f-dd5977afdf91,f394c477-1fc8-4042-a019-34fc2ecf2cea,"#N/A",false,"#N/A",2d60a190-05b4-4e70-9cae-35fdb9c4e55c,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Rejected,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
060d6f04-5a9e-4238-b9b2-fc826b7f69fc,58efd287-dcb5-4f81-a36c-a6cba938dbe7,"#N/A",false,"#N/A",8ea92217-c29a-49a1-a76a-1ab76698342b,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,New,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
060ff523-764a-4ce9-9e0d-966356bd9096,b4203b29-f061-4df0-8364-c7c0d26a96ce,"#N/A",false,"#N/A",eb723fb7-b9f6-41b9-97b7-1cb6f1e07d03,Prefers Direct Phone Outreach,false,"#N/A",Medium,User didn't attend training,Escalated,Template Manager and parameters,"#N/A","#N/A","#N/A",Question,"#N/A"
064a9091-1bb8-416e-842d-3d46f1fb71d9,6a4c9979-cc4a-4053-ab81-c6bc82e793ad,"#N/A",false,"#N/A",90ac6979-8551-4d5b-af33-f5f94c762597,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Pending Approval,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
065d7116-25d9-4d5a-a4ce-863d43eacbcc,71e4cbe7-b6af-4dd1-9dc7-eef3204a0846,"#N/A",false,"#N/A",14ffa9ae-b28c-4af2-ab5a-ab49c4852d23,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
06b29284-6807-42d7-b168-bdbb5cd19fbf,6bdb41de-9f1d-4207-ba4a-b6f70d0f5ef9,"#N/A",false,"#N/A",8c451ea1-8962-4441-86ef-4da86026875c,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Escalated,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
06b2c82a-b8e9-4959-8f65-8fd5a0609838,2b2eb896-411b-4481-bd30-98f28038ff6f,"#N/A",false,"#N/A",5c4ba98d-871e-4402-baf9-f4f6d1619dd1,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Closed,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
06c8f1e9-835b-414d-850e-a72c7c36199b,5d950c48-efeb-4038-81da-e6a20e591907,"#N/A",false,"#N/A",3e92018b-b4aa-44f4-a153-55a9d3e0d941,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Closed,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0733ec3d-6efc-4679-979d-1b71c42188c1,e9bf4039-ed13-4699-b39f-269ad0255c57,"#N/A",false,"#N/A",0445a66c-bfd3-4039-a90f-36cea6fa77c5,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Pending Approval,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
075da983-35e8-40a8-be49-dda557f87042,56acb614-01d1-4cb2-8997-b969585be12a,"#N/A",false,"#N/A",45da0a55-d67f-4da4-a737-c6f3fb0892a5,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Escalated,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
07975c3b-4001-48ea-b080-5b839fe9852e,55252f06-931d-4291-a2dd-f453b0cd1ece,"#N/A",false,"#N/A",63e65430-f29a-40b7-9fcd-fe00e542b8f9,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Closed,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
080c6fa4-dda6-4cdf-8097-44ef3dfe356b,e2278e2e-118c-4a8b-9544-8bc9fd7a5ca5,"#N/A",false,"#N/A",1819d5f4-52ab-4d45-a96f-c8e9687441d5,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,On Hold,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
081964fe-c857-422f-9c2f-ae47b0ff94e4,56acb614-01d1-4cb2-8997-b969585be12a,"#N/A",false,"#N/A",913a6b79-bab8-47b9-a38c-8424373fd23d,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Closed,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08287044-fbe3-48aa-a611-a4957d92bed6,f006c775-6747-440a-bd6c-8363eb6ebcc4,"#N/A",false,"#N/A",63e65430-f29a-40b7-9fcd-fe00e542b8f9,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
086220f9-fdc0-44c7-9bf6-cd2eab1ac93a,75223672-eca6-4901-affb-b9e0802b8b02,"#N/A",false,"#N/A",e39240d2-7769-4d4d-8ffb-0f624d90fbd5,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Pending Approval,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
087bd404-628e-4372-ae60-80da4747e621,67ed0a65-2dc8-4e05-9c9d-2260d04e9a8e,"#N/A",false,"#N/A",6469c059-4d25-440d-918f-b14d1d474808,EMEA Case,false,"#N/A",Medium,User didn't attend training,Pending Approval,Assistance with Invoice button and template,"#N/A","#N/A","#N/A",Question,"#N/A"
08bf0607-e31a-4241-b3a6-5788a610adc3,f26d233a-47cc-4c45-b05a-b49f378d8ea0,"#N/A",false,"#N/A",eda24ae4-79b6-4a7f-b640-c22f386f2019,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08dcb9ce-67ff-4895-999e-d2a0bef07ee1,11135c7f-cc58-4d45-bb45-45aa3244c4c7,"#N/A",false,"#N/A",fe35e1ed-2bde-430e-8c31-4d10654d77ad,"#N/A",false,"#N/A",Medium,"#N/A",Rejected,Reset my password,"#N/A","#N/A","#N/A",Question,"#N/A"
09113970-5c00-4323-a264-1b68527b0442,27618cd5-0dff-4f0e-ae82-f230d61d279f,"#N/A",false,"#N/A",82106ace-6438-493c-bd45-0115cbf0ff23,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0917fefe-2a64-4477-8b3c-7eb0f3ddc89e,26214f44-f0ee-419d-8b57-072b0bef6dd7,"#N/A",false,"#N/A",3edfc16f-ae14-4514-aead-7d17b1c80610,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
09454c4a-d6eb-48da-af39-eacaaa4468e3,71e4cbe7-b6af-4dd1-9dc7-eef3204a0846,"#N/A",false,"#N/A",df966b67-ca61-4d51-883e-9017bb95ad3f,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,New,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
096473f3-62cf-47d5-b5ef-9adb1da04985,b2176b9e-ff4e-4ea9-8458-01817a3296f9,"#N/A",false,"#N/A",1adb18e3-f28f-40d7-be68-08ca7bf71c00,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Escalated,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
097d36bf-9fab-4e70-a431-cbd8e0d869aa,11dcd51c-0534-48e0-a1e2-7635840bc51a,"#N/A",false,"#N/A",3e92018b-b4aa-44f4-a153-55a9d3e0d941,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,On Hold,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
098e85b5-a6d0-4e69-a3f4-ef02afff9ed2,efb12ca0-b7ab-440a-9f65-b3a43d600366,"#N/A",false,"#N/A",50db2b32-53cd-48ef-8d36-92b6b2d5213d,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Closed,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09cc9cb3-3df5-41e3-a997-9d0fe4e6229d,57afd48c-78fe-43bc-9bd2-5369132cf8cb,"#N/A",false,"#N/A",e09a861f-0bb4-4081-85bc-f0c6a392ea5e,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09d70d0b-f19e-44c3-8230-66ce4da1d1ae,56acb614-01d1-4cb2-8997-b969585be12a,"#N/A",false,"#N/A",d130dffd-d14e-41ca-9ef5-719040fd898c,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,On Hold,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a06a405-a422-407c-a695-99850c9363b6,6d0088c2-2543-49ca-af6c-9bda0ecab8a7,"#N/A",false,"#N/A",5dd5ec6e-c5ae-4f97-b299-4f0d4d1d2025,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Rejected,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a14cfb5-ee0e-4a2f-b988-0f87a31b7bba,18d8ad3e-ff5c-4693-be3b-b16fec484f41,"#N/A",false,"#N/A",437922e3-d79c-4db9-a830-c9f492d8bfd9,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Approved,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
