"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Pricebook2Id","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
0041823b-3579-4af3-8343-47187ba9431f,6280acc1-a003-47ec-96c9-e776e330c88a,72395.0,2022-02-03,"#N/A","#N/A",Pipeline,"#N/A",Oloo - SOW 2,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,20.0,false,false,"#N/A",false,"#N/A","#N/A",false,Needs Analysis,"#N/A","#N/A","#N/A",false,"#N/A"
00467bb0-765a-425b-888f-c8e4c2c62f0b,8599b326-90dc-46e5-a667-d916e8c20c28,32395.00000002,2022-02-01,"#N/A","#N/A",Closed,"#N/A",Bluezoom - Secondary Sale,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
00a08957-d66b-4db8-92f7-accf92c7b394,11135c7f-cc58-4d45-bb45-45aa3244c4c7,29995.0,2021-06-03,"#N/A","#N/A",Closed,"#N/A",Quinu - Additional Sale,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
00cc6ff2-141f-4d95-86f9-2de6a5e2eae2,61d91b5b-68cc-4a16-9d73-6036cb467cfe,32395.00000002,2022-02-01,"#N/A","#N/A",Closed,"#N/A",Babblestorm - Secondary Sale,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
01599116-65fe-4c14-859b-e6b64ad260e5,b19d0c1a-23f3-42d9-b4eb-d0d6890b7e59,75000.0,2022-02-07,"#N/A","#N/A",Pipeline,"#N/A",Bubblemix - Upsell,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
01833f95-ac1f-42d6-88f2-873d8461439d,decbf90c-0dd5-466c-8deb-a05452591608,32395.00000002,2022-02-01,"#N/A","#N/A",Closed,"#N/A",Photolist - Secondary Sale,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
01b20e7a-c1a3-4d9f-9be3-53cb1ab1f705,a114c42d-6ea2-4ea1-a4e7-38881919595c,"#N/A",2022-03-06,"#N/A","#N/A",Pipeline,"#N/A",Dynazzy - New Sale,"#N/A","#N/A",90.0,false,false,"#N/A",false,"#N/A","#N/A",false,Negotiation/Review,"#N/A","#N/A","#N/A",false,"#N/A"
01dacac2-852d-4c23-8640-a373ffc34710,6280acc1-a003-47ec-96c9-e776e330c88a,32395.00000002,2021-12-04,"#N/A","#N/A",Closed,"#N/A",Oloo - Secondary Sale,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
023b7fd3-0360-4a4b-b5dc-081eddba0e26,efb12ca0-b7ab-440a-9f65-b3a43d600366,75000.0,2022-04-09,"#N/A","#N/A",Pipeline,"#N/A",Plambee - Upsell,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
02b9244a-28c1-4f5c-a686-ba2d319921fb,56acb614-01d1-4cb2-8997-b969585be12a,32395.00000002,2022-02-01,"#N/A","#N/A",Closed,"#N/A",Realcube - Secondary Sale,"#N/A",9a52f4fc-1926-4f6a-8a05-a69f632657b5,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
