"Guid","Description","OpportunityId","PricebookEntryId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
000a56f0-9afe-4a6d-862a-b9902062ce9c,"#N/A",c7fcab05-079e-4ec7-aca1-e5c0ee97039e,6f47e53c-45b4-432c-b30c-4fffbe8bb674,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
001af9a5-1984-488c-9d48-b6399e59dd02,"#N/A",541d3b6b-bdd8-452c-9fad-f89a133513f3,8d174c97-4946-4657-94fd-0c8d3f139ad7,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
0025940d-298a-4a3c-a831-f86cc7c225a7,"#N/A",c88c5f0c-5213-4dba-bc54-f63c5b7804fc,2529d514-a27d-4cdf-9109-42295ef0d8fd,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
003a8be1-e70b-4a96-a5fb-f8efac93f26a,"#N/A",902e6bc7-598e-4c77-acec-74b6d47bdd83,48aac0ce-0d4b-4194-a5cf-fb988f60129e,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
004602ed-150a-4aa4-9c01-905a01e5d755,"#N/A",12515eaa-36f1-44cf-9a7d-5cb41b16731e,c6dec705-2642-4382-87c0-2c6d9fee3f74,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
005e9ace-3000-466e-b21e-873d714a30b5,"#N/A",d35c75c3-b577-425d-9f73-89f33c06d71c,8d174c97-4946-4657-94fd-0c8d3f139ad7,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
0066b25c-9d69-474f-8869-d19a158d20e6,"#N/A",fc8985f6-97d8-43d6-8404-ba89ed0d5d04,b977666a-0c58-47fc-921c-5f0f24e4ecd3,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
006ba6f1-5755-45e5-8289-dc242ed98c5e,"#N/A",0de8946c-ab48-4656-a91e-2b577b17247a,689f6479-7a66-4c8e-8c58-c2d681b07f29,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0071258d-db35-456b-b1e2-577e067c2ae6,"#N/A",2512de1f-9fc4-424c-b92b-b586a338baf6,8d174c97-4946-4657-94fd-0c8d3f139ad7,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
00800352-38a4-45ce-9593-c28a8dde4ddc,"#N/A",30ee1647-a7bb-447c-b0f5-b4954d3385e2,b977666a-0c58-47fc-921c-5f0f24e4ecd3,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
00ae8c71-244b-49de-a565-0c7f294fccad,"#N/A",dc90e70a-c75a-4d04-a490-97d9c878b74b,6f47e53c-45b4-432c-b30c-4fffbe8bb674,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00bd1f83-18a7-4b76-9866-d2a11606c011,"#N/A",b7d632d3-bffd-4b90-a74a-a59e4399b91c,855bb27b-fb3c-49ae-a9ca-303b252f029f,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00bee2ea-c7df-49c0-9607-6b90b270e728,"#N/A",59269ae9-a8a8-42cc-9090-265a15df5d49,6f47e53c-45b4-432c-b30c-4fffbe8bb674,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00ccf26d-6999-40d0-b41d-30c87886261b,"#N/A",1edea668-7bc4-4cf3-b9e1-6dd33d3af120,689f6479-7a66-4c8e-8c58-c2d681b07f29,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00d61973-9e79-4db2-9d04-62227e46f4d0,"#N/A",c9765f17-aba3-471c-8d9a-6a8dd44d26e7,8d174c97-4946-4657-94fd-0c8d3f139ad7,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
00e980ab-0e44-49d2-be01-f1e434e6e3b7,"#N/A",b0ad8de6-ef8c-4b16-bd82-7879287d199e,2e2a465c-7945-4246-9d5b-70aa19df853e,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",875.0,875.0,"#N/A"
00ecb3e1-aa0e-4cf1-acbf-7656583758c7,"#N/A",e41444e7-9581-4f9f-9f3a-5d574eac5d62,689f6479-7a66-4c8e-8c58-c2d681b07f29,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
01043275-f72f-4484-8916-005757f16b07,"#N/A",6a292793-5a07-41db-a428-ada9dc4d3d10,b977666a-0c58-47fc-921c-5f0f24e4ecd3,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
01363114-911f-456c-8bb8-e72804bbc78a,"#N/A",61d8b49d-4f09-4abc-8865-0e9d52305fc1,c6dec705-2642-4382-87c0-2c6d9fee3f74,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
01444eff-2731-4d99-b5b7-2340e5fa1c04,"#N/A",74f3013c-3919-472b-89d3-18c5e49148f8,89cc59b8-fba1-4a08-b7bf-99305aca2d2f,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
016644e4-f091-4fc6-a9fc-e7840517f308,"#N/A",4c1e61c2-8150-479a-ac97-697c0082d7f5,8d174c97-4946-4657-94fd-0c8d3f139ad7,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
016666e0-e7ad-433c-b6c1-0763f2293596,"#N/A",83e2ed3f-5991-4fe2-bb64-478cb4b5aed8,8d174c97-4946-4657-94fd-0c8d3f139ad7,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
