"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
086ef970-9a7c-4cea-9522-cc0ec75cc27a,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,19676d5c-57ec-4057-b967-6929fc468fbf,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
094e1339-f62a-4a93-828a-7fce039c4a03,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",9d4705de-1331-4d3a-bab7-4c689d38b2fe,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
13ef1587-13f2-4eb1-b307-a0634f33a939,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",a61a6547-61ee-4cf2-8e04-8d98be489bd2,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
1516bea7-9a50-464e-96f8-ab1cbed0771d,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,2a4193c4-d7f0-45be-b755-a0e3e38d2b67,"#N/A","#N/A",Product Option,"#N/A","#N/A"
194c713b-3b97-4dfd-8265-a49cdb4d99b6,Discount (Amt),"#N/A","#N/A",a4b4808f-fa4e-4428-81e6-3cfb15410e0d,"#N/A","#N/A",Quote Line,"#N/A",10
1ef08d76-c0e7-4650-a1d5-b9a74cd25650,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,e5ffed5e-80c0-461f-9b98-ea194422953d,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
2159c968-3fff-4134-ba31-aaeb8adf3869,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",e1e71a88-7619-4cdc-aad4-b15cb6b4e6de,"#N/A","#N/A",Quote,"#N/A",3
2a6e884f-d326-4663-bc50-4989eec36b68,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,fb33dce1-1927-414e-9730-80cf6bf1a241,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
2a7479e0-75a9-4567-b5bf-d71a82d0cf84,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,e8fb694f-b5c9-412a-8bd2-3d24995f2521,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
2d71518b-2ed1-41ff-946f-cd5a3d099db9,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",850fc938-39be-48ce-b515-510cd22822d9,"#N/A","#N/A",Quote,"#N/A",5
2f50d250-92c0-4b7c-af2f-cf693cd9ddda,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,7e099b21-5b2b-4c13-93f8-0c004ecaa253,"#N/A","#N/A",Product Option,"#N/A","#N/A"
2f8c762c-beaf-45fb-9c3a-69ab1796db59,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",31f92eba-4f61-4555-8da5-264aeb5535b8,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
3e487448-9ef6-4c7e-862a-efcb19725929,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",bc41fb25-fa1a-4b06-a80c-38315de3e58e,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
3e55e6a2-a9e4-4ad9-befe-059d7ad4ca61,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,e5ffed5e-80c0-461f-9b98-ea194422953d,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
45461f4c-0200-4ed2-a2bd-81d596b467d0,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",c40f6774-7bb3-4225-8848-0d90c64e93a6,"#N/A","#N/A",Quote,"#N/A",3
4988e0e1-d515-4059-a117-46a7c83cb8bc,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,a7d70952-8fef-4fd4-b1ce-71b83d2a1ef1,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
4a8f667d-812e-4f64-bdd6-9a9a75d17d75,Discount (%),"#N/A","#N/A",bf473de6-bfbb-4008-b322-faf9ecaaa214,"#N/A","#N/A",Quote Line,"#N/A",45
4c262827-4d0b-4359-a18b-699e64ce8313,Discount (%),"#N/A","#N/A",387e0f3d-f32f-400c-b1f8-68fffce5651c,"#N/A","#N/A",Quote Line,"#N/A",20
4cc348f0-f4cb-4923-95ce-6234de485776,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,a7d70952-8fef-4fd4-b1ce-71b83d2a1ef1,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
58c982ac-d053-4444-b1b7-a6523e7ac2ad,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,4e3eff86-6063-4190-beb0-39c3e6b282a5,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
5c991295-b35d-40ef-9903-4dd3882999b9,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,2b7f6775-e1c0-45c3-a040-4ca3d3bf26f5,"#N/A","#N/A",Product Option,"#N/A","#N/A"
5f15ca37-f550-4673-9413-826b1da66553,Discount (%),"#N/A","#N/A",5e797926-0b3c-468c-819a-edbac82a96c5,"#N/A","#N/A",Quote Line,"#N/A",45
6163715c-8f89-4698-9ca0-9016b122bb81,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",3564da56-f292-49b2-8658-bd46b22c6149,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
